AREA_CD,AREA_NM,center_lat,center_lng,radius_km,source,needs_review
POI029,사당역,37.47656223234824,126.98155858357366,2.0,kakao_api,False
POI030,삼각지역,37.5344393447708,126.972922951307,2.0,kakao_api,False
POI031,서울대입구역,37.4812845080678,126.952713197762,2.0,kakao_api,False
POI032,서울식물원·마곡나루역,37.56635914919501,126.82723611271075,2.0,kakao_api,False
POI033,서울역,37.55332892758497,126.96974961781686,2.0,kakao_api,False
POI034,선릉역,37.504497373023206,127.04896282498558,2.0,kakao_api,False
POI035,성신여대입구역,37.59296812939267,127.0171260607647,2.0,kakao_api,False
POI036,수유역,37.63788539420793,127.02550910860451,2.0,kakao_api,False
POI037,신논현역·논현역,37.504811111562,127.025492036104,2.0,kakao_api,False
POI038,신도림역,37.508908482648,126.891312500851,2.0,kakao_api,False
POI039,신림역,37.484267135140364,126.9297453749671,2.0,kakao_api,False
POI040,신촌·이대역,37.557329672494916,126.9435997720125,2.0,kakao_api,False
POI041,양재역,37.48457681195669,127.03416413380752,2.0,kakao_api,False
POI042,역삼역,37.5006744185994,127.03646946847,2.0,kakao_api,False
POI043,연신내역,37.61920414913163,126.92110296894133,2.0,kakao_api,False
POI044,오목교역·목동운동장,37.5665,126.978,2.0,failed,True
POI045,왕십리역,37.561268363317176,127.03710337610202,2.0,kakao_api,False
POI046,용산역,37.5300763645794,126.964824061815,2.0,kakao_api,False
POI047,이태원역,37.5345252050511,126.994333861918,2.0,kakao_api,False
POI048,장지역,37.4786316933099,127.12617656737,2.0,kakao_api,False
POI049,장한평역,37.5616038910656,127.06370373106944,2.0,kakao_api,False
POI050,천호역,37.5385112120297,127.12392845044,2.0,kakao_api,False
POI051,총신대입구(이수)역,37.48528852311765,126.98167629035197,2.0,kakao_api,False
POI052,충정로역,37.56042867918723,126.96303964820936,2.0,kakao_api,False
POI053,합정역,37.54991315995173,126.91445406513526,2.0,kakao_api,False
POI054,혜화역,37.58204391787134,127.00194500977393,2.0,kakao_api,False
POI055,홍대입구역(2호선),37.5568707448873,126.923778562273,2.0,kakao_api,False
POI056,회기역,37.5897962196601,127.058048369273,2.0,kakao_api,False
POI058,가락시장,37.4938884413034,127.110927336635,2.0,kakao_api,False
POI059,가로수길,37.520819816124934,127.02272940977892,2.0,kakao_api,False
POI060,광장(전통)시장,37.55918176072071,126.9776267740439,2.0,kakao_api,False
POI061,김포공항,37.55867678737794,126.80278135337612,2.0,kakao_api,False
POI063,노량진,37.5136058564068,126.94539042276,2.0,kakao_api,False
POI064,덕수궁길·정동길,37.5665,126.978,2.0,failed,True
POI066,북촌한옥마을,37.581768153833444,126.98481245064092,2.0,kakao_api,False
POI067,서촌,37.578728818102,126.9731106965,2.0,kakao_api,False
POI068,성수카페거리,37.5464440372535,127.043028992489,2.0,kakao_api,False
POI070,쌍문역,37.6485426057036,127.03465609756,2.0,kakao_api,False
POI071,압구정로데오거리,37.5267558230172,127.039152029523,2.0,kakao_api,False
POI072,여의도,37.5250892160129,126.947545050571,2.0,kakao_api,False
POI073,연남동,37.5635638685226,126.921818160092,2.0,kakao_api,False
POI074,영등포 타임스퀘어,37.5172951503156,126.90393083403768,2.0,kakao_api,False
POI076,용리단길,37.5314514583385,126.972204479602,2.0,kakao_api,False
POI077,이태원 앤틱가구거리,37.5335268984122,126.994383719145,2.0,kakao_api,False
POI078,인사동,37.5745467832909,126.985591616819,2.0,kakao_api,False
POI079,창동 신경제 중심지,37.5665,126.978,2.0,failed,True
POI080,청담동 명품거리,37.5261262382238,127.046048046817,2.0,kakao_api,False
POI081,청량리 제기동 일대 전통시장,37.5665,126.978,2.0,failed,True
POI082,해방촌·경리단길,37.5665,126.978,2.0,failed,True
POI083,DDP(동대문디자인플라자),37.5671843130818,127.009911013917,2.0,kakao_api,False
POI084,DMC(디지털미디어시티),37.5761512717257,126.89876332752651,2.0,kakao_api,False
POI085,강서한강공원,37.58837414475718,126.81312520288417,2.0,kakao_api,False
POI086,고척돔,37.49821220764421,126.8670889679075,2.0,kakao_api,False
POI087,광나루한강공원,37.54413379806722,127.1183161576554,2.0,kakao_api,False
POI088,광화문광장,37.572602860810186,126.97691639601517,2.0,kakao_api,False
POI089,국립중앙박물관·용산가족공원,37.5216426639857,126.978511291988,2.0,kakao_api,False
POI090,난지한강공원,37.5670399093241,126.875607758973,2.0,kakao_api,False
POI091,남산공원,37.5524979951415,126.989316855952,2.0,kakao_api,False
POI092,노들섬,37.51766013568054,126.95803386590158,2.0,kakao_api,False
POI093,뚝섬한강공원,37.5292974433415,127.06892112991,2.0,kakao_api,False
POI094,망원한강공원,37.5517245459018,126.900027640945,2.0,kakao_api,False
POI095,반포한강공원,37.51081992690844,126.99716104081192,2.0,kakao_api,False
POI096,북서울꿈의숲,37.62360650548208,127.04157251496886,2.0,kakao_api,False
POI098,서리풀공원·몽마르뜨공원,37.5665,126.978,2.0,failed,True
POI099,서울광장,37.5656726042805,126.977968926957,2.0,kakao_api,False
POI100,서울대공원,37.5499772549675,127.080235171998,2.0,kakao_api,False
POI101,서울숲공원,37.5443222301513,127.037617759165,2.0,kakao_api,False
POI102,아차산,37.55224917071854,127.08956495447913,2.0,kakao_api,False
POI103,양화한강공원,37.5378083426973,126.90293825104,2.0,kakao_api,False
POI104,어린이대공원,37.55147044344215,127.08378909469191,2.0,kakao_api,False
POI105,여의도한강공원,37.52638860108943,126.93512931714196,2.0,kakao_api,False
POI106,월드컵공원,37.5631939895966,126.897635431027,2.0,kakao_api,False
POI107,응봉산,37.5482528089186,127.029834156041,2.0,kakao_api,False
POI108,이촌한강공원,37.5172404421072,126.970526590861,2.0,kakao_api,False
POI109,잠실종합운동장,37.5145906150942,127.073024865801,2.0,kakao_api,False
POI110,잠실한강공원,37.5177992564873,127.082357837214,2.0,kakao_api,False
POI111,잠원한강공원,37.5273338139916,127.019046713623,2.0,kakao_api,False
POI112,청계산,37.44898005261383,127.0546981800968,2.0,kakao_api,False
POI114,북창동 먹자골목,37.5614811760833,126.978006379609,2.0,kakao_api,False
POI115,남대문시장,37.55918176072071,126.9776267740439,2.0,kakao_api,False
POI116,익선동,37.5734371942191,126.989775723896,2.0,kakao_api,False
POI117,신정네거리역,37.5202231231721,126.852889567642,2.0,kakao_api,False
POI118,잠실새내역,37.5116263587296,127.086314327913,2.0,kakao_api,False
POI119,잠실역,37.51331105877401,127.10023101886318,2.0,kakao_api,False
POI120,잠실롯데타워 일대,37.5665,126.978,2.0,failed,True
POI121,송리단길·호수단길,37.5665,126.978,2.0,failed,True
POI122,신촌 스타광장,37.5569792757261,126.93667142222,2.0,kakao_api,False
POI123,보라매공원,37.49328307697023,126.92051756183096,2.0,kakao_api,False
POI124,서대문독립공원,37.5744058898155,126.955398396095,2.0,kakao_api,False
POI125,안양천,37.5271859663193,126.881665362707,2.0,kakao_api,False
POI126,여의서로,37.5323563396306,126.923744684818,2.0,kakao_api,False
POI127,올림픽공원,37.5205340628851,127.120812783275,2.0,kakao_api,False
POI128,홍제폭포,37.580786747178536,126.93755129533662,2.0,kakao_api,False
POI129,송현녹지광장,37.5765680782914,126.981715077368,2.0,kakao_api,False
POI130,시의회 앞,37.5665,126.978,2.0,failed,True
POI131,숭례문,37.5600030088843,126.975313124237,2.0,kakao_api,False
